Brand,Dress_Description,Retail_price,Rent_price,Number_of_reviews,cotton,nylon,cellulose,silk,spandex,tencel,rayon,linen,cashmere,wool,leather,polyester,metallic_fibers,Length,Sleeves,Neckline
trina turk,indra dress,298,50,41,0,29,0,0,2,0,69,0,0,0,0,0,0,midi,long_sleeves,high_neckline
marchesa notte,embroidered lace sheath,795,81,153,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,high_neckline
polo ralph lauren,printed grace dress,398,70,13,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,v_neckline
nicole miller,lauren stretch sheath,290,50,69,0,0,0,0,2,0,43,55,0,0,0,0,0,midi,sleeveless,crew_neckline
ml monique lhuillier,back bow gown,695,105,129,0,0,0,0,0,0,0,0,0,0,0,100,0,unknown,sleeveless,square_neckline
saloni,printed ashley b shift,425,75,82,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,short_sleeves,v_neckline
black halo,pink indie sheath,325,55,22,0,62,0,0,6,0,32,0,0,0,0,0,0,midi,sleeveless,crew_neckline
rebecca taylor,pink stripe tank dress,295,50,49,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,sleeveless,halter
hutch,jolie floral dress,230,30,168,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,sweetheart_neckline
yumi kim,meadow maxi,248,40,53,0,0,0,0,0,0,0,0,0,0,0,100,0,unknown,sleeveless,v_neckline
of mercer,windowpane tompkins dress,195,35,122,0,0,0,0,1,0,35,0,0,0,0,64,0,midi,sleeveless,crew_neckline
loborosa,floral wrap around dress,345,62,12,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,three_quarter_sleeves,v_neckline
nicholas,faux leather larisa dress,525,49,60,0,0,0,0,0,0,45,0,0,0,0,55,0,midi,long_sleeves,shirt_collar_neckline
rachel rachel roy,paulette midi dress,139,30,42,98,0,0,0,2,0,0,0,0,0,0,0,0,midi,sleeveless,square_neckline
diane von furstenberg,lily cinch sleeve midi dress,498,85,58,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
black halo,jade cocktail sheath,400,33,199,0,90,0,0,10,0,0,0,0,0,0,0,0,midi,short_sleeves,off_shoulder_neckline
waverly grey,windowpane lena dress,230,40,132,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,three_quarter_sleeves,crew_neckline
shoshanna,geo lace carter dress,418,65,95,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,crew_neckline
ronny kobo,sallee maxi,438,35,65,0,0,0,0,2,0,0,0,0,0,0,98,0,maxi,sleeveless,v_neckline
la petite robe di chiara boni,blue yashiline dress,695,69,174,0,72,0,0,28,0,0,0,0,0,0,0,0,midi,sleeveless,one_shoulder
leota,textured ava dress,158,30,37,0,0,0,0,4,0,0,0,0,0,0,96,0,midi,sleeveless,crew_neckline
victoria victoria beckham,lilac flounce hem dress,450,65,18,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,sleeveless,crew_neckline
of mercer,green madison dress,175,30,60,0,0,0,0,4,0,29,0,0,0,0,67,0,midi,three_quarter_sleeves,boat_neckline
elle zeitoune,alexa asymmetric sequin dress,239,30,40,0,100,0,0,0,0,0,0,0,0,0,0,0,mini,sleeveless,one_shoulder
josie natori,radiant tie front shirtdress,650,95,45,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,sleeveless,shirt_collar_neckline
rosie assoulin,strapless bell cuff dress,1395,153,17,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,long_sleeves,off_shoulder_neckline
lauren ralph lauren,narayne dress,135,30,44,0,0,0,0,5,0,0,0,0,0,0,95,0,midi,sleeveless,crew_neckline
slate & willow,navy stripe knit dress,179,30,77,0,0,0,0,4,0,0,0,0,0,0,96,0,mini,short_sleeves,high_neckline
j.o.a.,woven cowl neck ruffle dress,94,30,64,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,sleeveless,cowl_neckline
pinko,floral arleen dress,475,80,85,40,0,0,0,0,0,60,0,0,0,0,0,0,mini,cap_sleeves,v_neckline
caara,cedar midi dress,159,30,31,0,25,0,0,0,0,75,0,0,0,0,0,0,midi,long_sleeves,v_neckline
nicholas,christina side tie mini dress,465,41,5,0,0,0,0,0,0,39,0,0,0,0,0,0,mini,sleeveless,sweetheart_neckline
parker,floral yuna dress,301,45,78,0,0,0,0,3,0,97,0,0,0,0,0,0,mini,sleeveless,sweetheart_neckline
jonathan simkhai,one shoulder asymmetric denim dress,495,60,41,98,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,one_shoulder
nicole miller,blue stephanie dress,290,50,43,0,0,0,0,3,0,97,0,0,0,0,0,0,midi,sleeveless,v_neckline
madewell,tie dye t-shirt dress,80,30,14,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,short_sleeves,crew_neckline
of mercer,grey carlisle dress,195,35,21,0,0,0,0,0,0,0,0,0,0,0,12,0,midi,short_sleeves,crew_neckline
boden,leah ottoman dress,130,30,38,57,0,0,0,1,0,0,0,0,0,0,42,0,midi,three_quarter_sleeves,crew_neckline
kate spade new york,flora tulip dress,348,60,155,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,v_neckline
miaou,orange zoe dress,250,45,34,0,88,0,0,12,0,0,0,0,0,0,0,0,midi,sleeveless,crew_neckline
louna,crossover halter neck dress,230,30,4,0,0,0,0,1,0,0,0,0,0,0,99,0,maxi,halter,halter
elle zeitoune,paulina strapless satin gown,320,41,45,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,strapless,straight_neckline
solace london,darce gown,480,41,124,0,0,0,0,5,0,0,0,0,0,0,95,0,mini,sleeveless,halter
hutch,lanie sheath,280,50,70,0,0,0,0,3,0,46,0,0,0,0,51,0,midi,three_quarter_sleeves,high_neckline
thakoon collective,plaid tunic dress,280,50,85,0,30,0,0,0,0,45,0,0,0,0,10,0,mini,long_sleeves,crew_neckline
miaou,the suz dress,245,30,31,0,0,0,0,8,0,0,0,0,0,0,92,0,midi,sleeveless,crew_neckline
vero moda,black printed wrap dress,95,30,18,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,long_sleeves,shirt_collar_neckline
hunter bell,yellow abstract stitch dress,598,105,247,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,crew_neckline
hervé léger,sweetheart icon dress,600,57,34,0,9,0,0,1,0,90,0,0,0,0,0,0,mini,long_sleeves,off_shoulder_neckline
nissa,black printed tulle midi dress,348,33,117,0,40,0,0,0,0,0,0,0,0,0,60,0,midi,long_sleeves,v_neckline
thurley,venitian nights dress,795,81,19,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,sleeveless,one_shoulder
badgley mischka,grey day dress,440,75,103,0,0,0,0,2,0,34,0,0,0,0,64,0,midi,three_quarter_sleeves,crew_neckline
madewell,scalloped eyelet midi dress,150,30,54,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
stine goya,striped liberty dress,350,60,116,0,0,0,0,3,0,97,0,0,0,0,0,0,maxi,sleeveless,crew_neckline
yumi kim,be the one dress,238,30,68,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,short_sleeves,v_neckline
vone,kava dress,246,30,166,0,25,0,0,0,0,0,0,0,0,0,75,0,midi,short_sleeves,crew_neckline
l.k. bennett,navy trinu dress,425,75,130,0,0,0,0,5,0,32,0,0,0,0,63,0,midi,short_sleeves,crew_neckline
aidan aidan mattox,grey draped dress,245,30,74,0,0,0,0,4,0,0,0,0,0,0,96,0,maxi,sleeveless,v_neckline
a.l.c.,margot gown,595,57,127,0,0,0,0,4,0,96,0,0,0,0,0,0,unknown,sleeveless,v_neckline
hunter bell,sequin roxy dress,480,45,288,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,cap_sleeves,crew_neckline
nicholas,plunging navy dress,695,69,235,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,v_neckline
la petite robe di chiara boni,black kate gown,995,105,161,0,0,0,0,28,0,0,0,0,0,0,72,0,unknown,three_quarter_sleeves,boat_neckline
louna,smocked floral dress,109,30,19,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,crew_neckline
brochu walker,bray dress,368,65,13,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,crew_neckline
rixo,sonja dress,400,70,27,0,0,0,34,0,0,66,0,0,0,0,0,0,maxi,long_sleeves,v_neckline
tanya taylor,iolanda dress,495,85,48,0,0,0,0,22,0,78,0,0,0,0,0,0,midi,sleeveless,scoop_neckline
leota,printed gia flounce hem dress,188,30,33,0,0,0,0,2,0,28,0,0,0,0,70,0,mini,short_sleeves,boat_neckline
line + dot,megan wrap mini dress,127,30,7,0,0,0,0,4,0,0,0,0,0,0,22,0,mini,long_sleeves,square_neckline
alexis,konner blue stripe dress,485,70,84,0,0,0,0,0,0,0,90,0,0,0,10,0,mini,cap_sleeves,one_shoulder
greylin,gabi pouf sleeve dress,145,30,20,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,short_sleeves,v_neckline
bec & bridge,lilac aria dress,370,30,93,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,square_neckline
mara hoffman,consuela wrap dress,425,75,46,0,0,0,0,0,60,0,40,0,0,0,0,0,maxi,sleeveless,v_neckline
reformation,cybill dress,218,40,35,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,sleeveless,sweetheart_neckline
shoshanna,vaiana dress,398,65,47,0,98,0,0,2,0,0,0,0,0,0,0,0,midi,sleeveless,v_neckline
"love, whit by whitney port",dotted puffed sleeve dress,276,36,113,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
cinq à sept,belladonna dress,465,41,118,0,0,69,0,0,0,0,0,0,0,0,31,0,midi,sleeveless,crew_neckline
veda,ruby figgy dress,498,85,38,0,0,0,0,0,0,0,0,0,100,0,0,0,midi,long_sleeves,high_neckline
manning cartell,facetime slip gown,499,41,33,0,0,0,0,3,0,15,0,0,0,0,0,0,unknown,sleeveless,v_neckline
c/meo collective,explanatory dress,190,30,22,0,0,0,0,1,0,0,0,0,0,0,99,0,maxi,long_sleeves,shirt_collar_neckline
ted baker london,annile dress,315,40,83,0,0,0,0,5,0,0,0,0,0,0,95,0,mini,sleeveless,crew_neckline
ml monique lhuillier,ruffle skirt day dress,395,60,64,0,0,0,0,0,0,100,0,0,0,0,0,0,midi,three_quarter_sleeves,crew_neckline
cynthia rowley,courtney maxi,474,80,4,100,0,0,0,0,0,0,0,0,0,0,0,0,unknown,long_sleeves,v_neckline
badgley mischka,multi floral wrap dress,530,49,52,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,v_neckline
nicholas,azalia lace dress,695,69,274,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,v_neckline
derek lam 10 crosby,sleeveless tie-waist shirtdress,295,50,53,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,sleeveless,shirt_collar_neckline
toccin,houndstooth sheath,595,100,42,0,0,0,0,3,0,33,0,0,0,0,64,0,midi,sleeveless,crew_neckline
great jones,ruffle hem maxi,300,50,27,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,halter,halter
stylestalker,angeles a-line dress,189,30,120,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,crew_neckline
lauren ralph lauren,yellow crossover dress,155,30,27,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,three_quarter_sleeves,v_neckline
a.l.c.,yellow walker dress,495,70,77,0,0,0,0,2,0,44,54,0,0,0,0,0,maxi,cap_sleeves,v_neckline
hutch,sunset jacquard dress,330,50,112,30,0,0,0,0,0,0,0,0,0,0,70,0,mini,sleeveless,crew_neckline
likely,floral sequin reese dress,248,30,45,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,sleeveless,square_neckline
slate & willow,black collar dress,225,40,11,0,0,0,0,5,0,0,0,0,0,0,95,0,midi,sleeveless,crew_neckline
baum und pferdgarten,allessia dress,259,40,21,0,0,0,0,6,0,0,0,0,0,0,94,0,maxi,long_sleeves,v_neckline
hemant & nandita,blush gold dress,330,50,69,0,0,0,0,0,0,100,0,0,0,0,0,0,midi,three_quarter_sleeves,v_neckline
tibi,stretch knit dress,395,65,49,0,35,0,0,4,0,61,0,0,0,0,0,0,midi,sleeveless,high_neckline
alexis,blossom sabella dress,665,100,98,50,0,0,0,0,0,0,50,0,0,0,0,0,mini,sleeveless,crew_neckline
vince.,fine gauge stretch merino dress,375,65,43,0,0,0,0,0,0,0,0,30,70,0,0,0,midi,long_sleeves,boat_neckline
badgley mischka,floral ruched gown,495,53,71,0,0,0,0,6,0,0,0,0,0,0,94,0,unknown,long_sleeves,v_neckline
susana monaco,side gathered cutout dress,216,30,63,0,94,0,0,6,0,0,0,0,0,0,0,0,midi,sleeveless,crew_neckline
lauren ralph lauren,jannette dress,125,30,51,0,0,0,0,5,0,0,0,0,0,0,95,0,midi,cap_sleeves,v_neckline
just female,maya short sleeve dress,103,30,22,0,0,0,0,5,0,95,0,0,0,0,0,0,maxi,short_sleeves,crew_neckline
dress the population,zoe sequin dress,216,30,298,0,0,0,0,8,0,0,0,0,0,0,92,0,mini,short_sleeves,v_neckline
tory burch,millie button dress,398,70,77,0,0,0,0,4,0,35,0,0,0,0,61,0,midi,sleeveless,square_neckline
parker,philippa dress,338,30,168,0,0,0,0,6,0,0,0,0,0,0,94,0,mini,long_sleeves,v_neckline
slate & willow,grey knit dress,198,35,11,40,0,0,0,0,0,0,0,0,0,0,60,0,midi,short_sleeves,v_neckline
badgley mischka,champagne sequin mini dress,550,61,90,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,v_neckline
black halo,sajae sheath,375,40,71,0,90,0,0,10,0,0,0,0,0,0,0,0,midi,sleeveless,square_neckline
alexia admor,striped knit dress,265,45,77,0,35,0,0,0,0,65,0,0,0,0,0,0,midi,sleeveless,crew_neckline
nha khanh,lace adeline dress,450,65,104,77,23,0,0,0,0,0,0,0,0,0,0,0,mini,short_sleeves,crew_neckline
rokh,split frill dress,1208,205,35,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,short_sleeves,shirt_collar_neckline
ieena for mac duggal,black sequin tie back gown,358,70,30,0,0,0,0,0,0,0,0,0,0,0,100,0,unknown,sleeveless,square_neckline
mm6 maison margiela,indigo denim dress,550,85,17,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,long_sleeves,crew_neckline
club monaco,delaynee dress,269,45,39,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,long_sleeves,crew_neckline
parker,floral lilly dress,398,70,31,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,crew_neckline
badgley mischka,embroidered mesh dress,595,72,559,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,crew_neckline
tibi,black sculpted sleeve dress,395,70,38,0,0,0,0,6,0,0,0,0,0,0,94,0,mini,three_quarter_sleeves,v_neckline
milly,cady caedyn dress,325,55,12,0,0,0,0,2,0,0,0,0,0,0,98,0,midi,sleeveless,crew_neckline
badgley mischka,navy swing dress,750,130,53,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,high_neckline
black halo,hendricks gown,575,57,209,0,90,0,0,10,0,0,0,0,0,0,0,0,mini,sleeveless,v_neckline
fifteen twenty,racerback cami dress,176,30,25,0,0,0,0,0,0,100,0,0,0,0,0,0,midi,sleeveless,scoop_neckline
le superbe,beachwood canyon dress,495,85,12,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,v_neckline
warm,sierra dress,625,100,26,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,v_neckline
m.m.lafleur,black ellis dress,265,45,33,0,51,0,0,4,0,45,0,0,0,0,0,0,midi,long_sleeves,crew_neckline
ba&sh,wanda metallic maxi,695,105,74,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,short_sleeves,v_neckline
black halo,amari sheath,345,50,45,0,62,0,0,6,0,32,0,0,0,0,0,0,midi,cap_sleeves,boat_neckline
ramy brook,copper myrtle dress,445,75,21,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,crew_neckline
reformation,prima dress,218,30,70,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,short_sleeves,crew_neckline
of mercer,bryant dress,175,30,30,55,0,0,0,0,0,23,0,0,0,0,20,0,midi,sleeveless,crew_neckline
slate & willow,printed short sleeve wrap dress,200,35,20,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,v_neckline
hutch,floral hi low gown,360,41,56,0,0,0,0,0,0,0,0,0,0,0,86,14,maxi,strapless,straight_neckline
hervé léger,tan mesh bondage dress,950,113,30,0,9,0,0,1,0,90,0,0,0,0,0,0,midi,sleeveless,crew_neckline
elle zeitoune,turner ruched dress,299,30,31,0,0,0,0,5,0,0,0,0,0,0,95,0,maxi,long_sleeves,v_neckline
warm,multi printed maxi,450,75,17,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,square_neckline
manning cartell,pop sensation knit dress,315,30,30,0,35,0,0,0,0,65,0,0,0,0,0,0,maxi,sleeveless,one_shoulder
3.1 phillip lim,poplin midi flare dress,550,95,37,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
ml monique lhuillier,red strapless gown,795,135,53,0,0,0,0,0,0,0,0,0,0,0,100,0,unknown,strapless,straight_neckline
black halo,black ivana faux wrap sheath ,375,33,33,0,0,0,0,5,0,0,0,0,0,0,95,0,midi,long_sleeves,v_neckline
bytimo,tulips shiny wrap maxi,315,50,20,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,long_sleeves,v_neckline
hemant & nandita,mutlicolored mini dress,320,55,38,55,0,0,0,0,0,0,45,0,0,0,0,0,mini,long_sleeves,v_neckline
alexis,brandy dress,385,60,53,50,0,0,0,0,0,0,41,0,0,0,9,0,mini,sleeveless,square_neckline
fame & partners,the anita dress,279,30,148,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,cowl_neckline
area stars,rainbow tier maxi,195,30,16,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
red valentino,red ruffle detail dress,595,90,45,0,0,0,0,6,0,14,0,0,0,0,80,0,mini,sleeveless,crew_neckline
kate spade new york,dusk buds print dress,398,70,134,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,v_neckline
aidan aidan mattox,tie dye print maxi,265,30,38,0,0,0,0,0,0,0,0,0,0,0,100,0,unknown,sleeveless,v_neckline
iro,banon dress,695,120,9,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,three_quarter_sleeves,v_neckline
slate & willow,floral smocked waist dress,373,60,45,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,sleeveless,one_shoulder
marchesa notte,royal blue floral dress,795,81,257,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,sleeveless,crew_neckline
kf/kaufmanfranco collective,exposed zipper sheath,380,65,19,0,0,0,0,5,0,0,0,0,0,0,95,0,midi,sleeveless,crew_neckline
tanya taylor,plaid raven dress,465,64,91,31,0,0,0,0,0,61,0,0,0,0,0,0,mini,long_sleeves,crew_neckline
nicholas,smocked apron dress,498,85,12,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,sleeveless,square_neckline
la petite robe di chiara boni,navy kate sheath,695,84,310,0,72,0,0,28,0,0,0,0,0,0,0,0,midi,three_quarter_sleeves,boat_neckline
a.l.c.,mint jane dress,595,100,71,0,0,0,0,4,0,96,0,0,0,0,0,0,mini,long_sleeves,high_neckline
parker,ayla knit dress,328,35,72,0,34,0,0,2,0,64,0,0,0,0,0,0,midi,sleeveless,halter
atlein,green snake print dress,875,135,29,0,0,0,0,0,0,100,0,0,0,0,0,0,midi,long_sleeves,v_neckline
tanya taylor,garden print everly maxi,525,80,94,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,sleeveless,v_neckline
slate & willow,skinny tie purple shift,260,45,56,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,sleeveless,turtleneck
rebecca taylor,blue floral shift,395,70,97,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,sleeveless,v_neckline
lauren ralph lauren,clark dress,145,30,48,0,0,0,0,5,0,0,0,0,0,0,95,0,midi,cap_sleeves,crew_neckline
of mercer,black pollock dress,195,35,16,0,0,0,0,4,0,29,0,0,0,0,67,0,midi,sleeveless,crew_neckline
sabina musayev,red athena dress,205,35,38,0,40,0,0,0,0,60,0,0,0,0,0,0,maxi,sleeveless,v_neckline
nicholas,bloom embroidery maxi,395,70,103,50,0,0,0,3,0,0,0,0,0,0,47,0,maxi,sleeveless,v_neckline
draper james,lemon blossom wrap dress,295,50,90,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
ksubi,underrated denim domino dress,240,40,15,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,long_sleeves,shirt_collar_neckline
toccin,sequin cut out gown,695,69,19,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,crew_neckline
faviana,black floral v-neck maxi,394,37,83,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,sleeveless,v_neckline
n natori,black leaf print dress,130,30,20,0,0,0,0,4,0,0,0,0,0,0,96,0,midi,three_quarter_sleeves,square_neckline
kate spade new york,printed spade dress,448,75,31,71,0,0,0,0,0,0,0,0,0,0,26,3,mini,short_sleeves,crew_neckline
dress the population,confetti holly dress,232,30,316,0,92,0,0,8,0,0,0,0,0,0,0,0,mini,short_sleeves,crew_neckline
dress the population,floral alice sheath,198,30,57,0,97,0,0,3,0,0,0,0,0,0,0,0,midi,sleeveless,v_neckline
monse,draped t-shirt dress,890,135,14,0,0,0,0,5,0,95,0,0,0,0,0,0,mini,sleeveless,scoop_neckline
parker,fletcher dress,348,60,18,0,0,0,53,0,0,47,0,0,0,0,0,0,midi,long_sleeves,v_neckline
dress the population,dominique dress,224,35,62,0,0,0,0,3,0,0,0,0,0,0,97,0,midi,short_sleeves,v_neckline
la petite robe di chiara boni,kimina gown,995,121,127,0,72,0,0,28,0,0,0,0,0,0,0,0,unknown,long_sleeves,one_shoulder
rococo sand,mimi wrap dress,339,30,58,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,long_sleeves,v_neckline
for love and lemons,isadora mini dress,350,56,58,0,0,0,92,8,0,0,0,0,0,0,0,0,mini,three_quarter_sleeves,v_neckline
colovos,blue printed silk dress,798,135,43,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,long_sleeves,shirt_collar_neckline
victoria victoria beckham,blue tie sleeve dress,440,75,20,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,short_sleeves,crew_neckline
tanya taylor,red leopard clementine dress,695,120,28,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
hutch,green birdie gown,409,41,255,0,0,0,0,5,0,0,0,0,0,0,95,0,unknown,sleeveless,sweetheart_neckline
kinly,striped flutter sleeve dress,218,40,39,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,short_sleeves,crew_neckline
cinq à sept,coral dress,295,30,17,0,0,0,0,15,0,0,0,0,0,0,85,0,mini,sleeveless,square_neckline
john + jenn,lime striped lucy knit dress,175,30,50,0,35,0,0,0,0,65,0,0,0,0,0,0,midi,sleeveless,crew_neckline
shoshanna,sentido dress,570,49,69,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,off_shoulder_neckline
slate & willow,red floral midi dress,265,40,160,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,crew_neckline
staud,bell zebra print dress,195,30,13,0,0,0,0,0,0,35,0,0,0,0,0,0,midi,sleeveless,square_neckline
trina turk,arco aris flame print maxi,368,60,39,100,0,0,0,0,0,0,0,0,0,0,0,0,unknown,three_quarter_sleeves,v_neckline
parker,pink floral allison dress,298,50,51,0,0,0,0,3,0,0,0,0,0,0,97,0,mini,long_sleeves,v_neckline
black halo,green kensington dress,390,65,58,0,62,0,0,6,0,32,0,0,0,0,0,0,mini,three_quarter_sleeves,v_neckline
marchesa notte,floral flutter sleeve dress,695,90,57,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,cap_sleeves,v_neckline
dress the population,silver sequin karlie sheath,258,30,109,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,sleeveless,crew_neckline
shoshanna,floral daydream thessa dress,525,65,28,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,off_shoulder_neckline
l.k. bennett,vena dress,375,65,85,0,0,0,0,4,0,33,0,0,0,0,63,0,maxi,short_sleeves,crew_neckline
halston,draped column gown,475,41,156,0,0,0,0,0,0,0,0,0,0,0,100,0,unknown,sleeveless,one_shoulder
hutch,keeley mini dress,312,30,37,0,0,0,0,0,0,27,0,0,0,0,57,16,mini,sleeveless,sweetheart_neckline
sanctuary,into the mystic dress,139,30,71,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,high_neckline
tanya taylor,inez dress,545,50,84,0,0,0,0,3,0,42,55,0,0,0,0,0,midi,short_sleeves,v_neckline
solace london,snake print rosa maxi,675,100,48,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,short_sleeves,one_shoulder
kourt,polka dot holly dress,133,30,15,95,0,0,0,0,0,0,0,0,0,0,5,0,midi,short_sleeves,v_neckline
derek lam 10 crosby,floral long sleeve shift,595,100,65,0,0,0,0,0,0,0,0,0,0,0,97,3,mini,long_sleeves,v_neckline
naeem khan,copper sequin dress,1195,129,32,0,85,0,0,5,0,0,0,0,0,0,10,0,mini,long_sleeves,high_neckline
caara,fritz dress,163,30,39,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,high_neckline
badgley mischka,day sheath dress,395,70,35,0,0,0,0,7,0,0,0,0,0,0,93,0,midi,short_sleeves,scoop_neckline
shoshanna,blue floral bell dress,595,57,186,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,crew_neckline
kate spade new york,button back stripe dress,268,45,44,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,crew_neckline
vone,dira dress,232,30,82,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,sleeveless,one_shoulder
nicholas,smocked panel dress,498,60,59,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
minkpink,kita mini dress,79,30,27,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,sleeveless,v_neckline
stylestalker,deep red erin midi wrap dress,187,30,128,0,35,0,0,5,0,65,0,0,0,0,0,0,maxi,sleeveless,v_neckline
tory sport,merino ribbed chevron dress,378,60,14,0,0,0,0,0,0,0,0,0,60,0,40,0,midi,long_sleeves,crew_neckline
krisa,tie waist surplice dress,207,35,51,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,v_neckline
divine heritage,henley western mini dress,275,45,18,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,long_sleeves,shirt_collar_neckline
rebecca minkoff,red floral lucy dress,218,40,95,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,v_neckline
leota,confetti dot scarlett dress,148,30,75,0,0,0,0,6,0,0,0,0,0,0,94,0,midi,three_quarter_sleeves,v_neckline
black halo,brett sheath,375,30,71,0,95,0,0,5,0,0,0,0,0,0,0,0,mini,sleeveless,crew_neckline
banjanan,printed capri maxi,245,30,67,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,halter
hunter bell,burnt dot casper dress,473,80,102,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,long_sleeves,crew_neckline
